OBJECTNUMMER;Boomsoort;Wetenschappelijke_naam;Plantjaar;Stamomtrek;Stamdiameter;Beschermwaarde;Toelichting;Referentienummer_stadsdeel;Volgnummer;Groep;SELECTIE_CAT;Foto;Vastgesteld;Achtergrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
90;"Ratel populier";"Populus tremula";1960;"200-300 cm";"";"";"";"235497";"N213";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9945762,52.3953024)";"POINT(52.3953024,4.9945762)";4.9945762;52.3953024;
91;"Huntingdon iep";"Ulmus xhollandica `Vegeta`";1955;"";"";"";"";"239427";"N215";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.95732,52.3860518)";"POINT(52.3860518,4.95732)";4.95732;52.3860518;
92;"Huntingdon iep";"Ulmus xhollandica `Vegeta`";1955;"";"";"";"";"239428";"N216";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9589178,52.3855521)";"POINT(52.3855521,4.9589178)";4.9589178;52.3855521;
93;"Kerspruim";"Prunus cerasifera";1950;"200-300 cm";"";"";"";"239431";"N218";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9651482,52.3826758)";"POINT(52.3826758,4.9651482)";4.9651482;52.3826758;
94;"Gewone es";"Fraxinus excelsior";1960;"200-300 cm";"";"";"";"239433";"N220";"Monumentale boom";"BOOM_50_80";"239433.jpg";"Ja";"";"POINT(4.9865701,52.3763167)";"POINT(52.3763167,4.9865701)";4.9865701;52.3763167;
95;"Gewone es";"Fraxinus excelsior `Westhofs Glorie`";1950;"";"";"";"Particuliere boom";"239437";"N223";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9042489,52.3837821)";"POINT(52.3837821,4.9042489)";4.9042489;52.3837821;
96;"Hollandse iep";"Ulmus xhollandica `Belgica`";1950;"";"";"";"";"239458";"N224";"Monumentale boom";"BOOM_50_80";"239458.jpg";"Ja";"";"POINT(4.907376,52.3845183)";"POINT(52.3845183,4.907376)";4.907376;52.3845183;
97;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"239459";"N225";"Monumentale boom";"BOOM_50_80";"239459.jpg";"Ja";"";"POINT(4.9075258,52.3844573)";"POINT(52.3844573,4.9075258)";4.9075258;52.3844573;
98;"Paardenkastanje";"Aesculus hippocastanum";1950;"";"";"";"";"239464";"N226";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9133031,52.3938109)";"POINT(52.3938109,4.9133031)";4.9133031;52.3938109;
99;"Paardenkastanje";"Aesculus hippocastanum";1950;"";"";"";"";"239465";"N227";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9135401,52.3936698)";"POINT(52.3936698,4.9135401)";4.9135401;52.3936698;
100;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1900;"";"";"";"";"284726";"N230";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9415829,52.3902213)";"POINT(52.3902213,4.9415829)";4.9415829;52.3902213;
101;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1881;"";"";"";"";"284727";"N231";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9415219,52.3901412)";"POINT(52.3901412,4.9415219)";4.9415219;52.3901412;
102;"Zwarte moerbei";"Morus nigra";1900;"";"";"";"";"284728";"N232";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9417198,52.3902861)";"POINT(52.3902861,4.9417198)";4.9417198;52.3902861;
103;"Rode paardenkastanje";"Aesculus x carnea";1930;"";"";"";"";"284729";"N233";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9412849,52.3904769)";"POINT(52.3904769,4.9412849)";4.9412849;52.3904769;
104;"Paardenkastanje";"Aesculus hippocastanum";1940;"";"";"";"";"284731";"N234";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.941396,52.3904425)";"POINT(52.3904425,4.941396)";4.941396;52.3904425;
105;"Paardenkastanje";"Aesculus hippocastanum";1900;"";"";"";"";"284732";"N235";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9414718,52.3904082)";"POINT(52.3904082,4.9414718)";4.9414718;52.3904082;
106;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1890;"";"";"";"";"284733";"N236";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9412119,52.3901908)";"POINT(52.3901908,4.9412119)";4.9412119;52.3901908;
107;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1890;"";"";"";"";"284734";"N237";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9411471,52.3900153)";"POINT(52.3900153,4.9411471)";4.9411471;52.3900153;
108;"Venijnboom";"Taxus baccata";1940;"";"";"";"";"284736";"N238";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9236081,52.3970229)";"POINT(52.3970229,4.9236081)";4.9236081;52.3970229;
109;"Venijnboom";"Taxus baccata";1940;"";"";"";"";"284737";"N239";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9236438,52.3969428)";"POINT(52.3969428,4.9236438)";4.9236438;52.3969428;
110;"Zachte berk";"Betula pubescens";1940;"";"";"";"";"285075";"N241";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.8840272,52.412171)";"POINT(52.412171,4.8840272)";4.8840272;52.412171;
111;"Zachte berk";"Betula pubescens";1940;"100-200 cm";"";"";"";"285076";"N242";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.8840668,52.4121558)";"POINT(52.4121558,4.8840668)";4.8840668;52.4121558;
112;"Italiaanse populier";"Populus nigra `Italica`";1950;"";"";"";"";"285102";"N243";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9045398,52.3839385)";"POINT(52.3839385,4.9045398)";4.9045398;52.3839385;
113;"Gele treurwilg";"Salix sepulcralis `Tristis`";1930;"";"";"";"";"306008";"N246";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9623468,52.3834845)";"POINT(52.3834845,4.9623468)";4.9623468;52.3834845;
114;"Linde";"Tilia xvulgaris `Pallida`";1870;"";"";"";"";"306009";"N247";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.939182,52.3914458)";"POINT(52.3914458,4.939182)";4.939182;52.3914458;
115;"Hollandse iep";"Ulmus xhollandica `Belgica`";1875;"";"";"";"";"306220";"N248";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(5.0528428,52.4141738)";"POINT(52.4141738,5.0528428)";5.0528428;52.4141738;
116;"Hollandse iep";"Ulmus xhollandica `Belgica`";1875;"";"";"";"";"306221";"N249";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(5.0528929,52.4141356)";"POINT(52.4141356,5.0528929)";5.0528929;52.4141356;
117;"Hollandse iep";"Ulmus xhollandica `Belgica`";1952;"";"";"";"";"306224";"N250";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(5.05423,52.4144599)";"POINT(52.4144599,5.05423)";5.05423;52.4144599;
118;"Gewone es";"Fraxinus excelsior `Westhofs Glorie`";1930;"";"";"";"";"306226";"N251";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9659951,52.4053732)";"POINT(52.4053732,4.9659951)";4.9659951;52.4053732;
119;"Gewone es";"Fraxinus excelsior `Westhofs Glorie`";1952;"200-300 cm";"";"";"";"306227";"N252";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9949362,52.3936812)";"POINT(52.3936812,4.9949362)";4.9949362;52.3936812;
120;"Gewone es";"Fraxinus excelsior";1924;"";"";"";"";"306228";"N253";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9925878,52.3930136)";"POINT(52.3930136,4.9925878)";4.9925878;52.3930136;
121;"Paardenkastanje";"Aesculus hippocastanum";1924;"";"";"";"";"306229";"N254";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9927518,52.3928725)";"POINT(52.3928725,4.9927518)";4.9927518;52.3928725;
122;"Hollandse iep";"Ulmus xhollandica `Belgica`";1880;"100-200 cm";"";"";"";"306232";"N255";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9955318,52.3904807)";"POINT(52.3904807,4.9955318)";4.9955318;52.3904807;
123;"Hollandse iep";"Ulmus xhollandica `Belgica`";1880;"100-200 cm";"";"";"";"306233";"N256";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.995578,52.3905837)";"POINT(52.3905837,4.995578)";4.995578;52.3905837;
124;"Zomereik";"Quercus robur";1946;"";"";"";"";"306235";"N257";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.907047,52.4163901)";"POINT(52.4163901,4.907047)";4.907047;52.4163901;
125;"Gewone plataan";"Platanus xhispanica";1930;"";"";"";"";"306272";"N258";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9882839,52.3782431)";"POINT(52.3782431,4.9882839)";4.9882839;52.3782431;
126;"Gewone plataan";"Platanus xhispanica";1930;"";"";"";"";"306273";"N259";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9882839,52.3782431)";"POINT(52.3782431,4.9882839)";4.9882839;52.3782431;
127;"Gewone es";"Fraxinus excelsior `Westhofs Glorie`";1930;"200-300 cm";"";"";"";"306438";"N263";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.967397,52.4064604)";"POINT(52.4064604,4.967397)";4.967397;52.4064604;
128;"Gladde iep";"Ulmus minor `Sarniensis`";1923;"200-300 cm";"";"";"";"306439";"N264";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9940188,52.3931204)";"POINT(52.3931204,4.9940188)";4.9940188;52.3931204;
129;"Gewone beuk";"Fagus sylvatica";1940;"100-200 cm";"";"";"";"306440";"N265";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9942191,52.3929679)";"POINT(52.3929679,4.9942191)";4.9942191;52.3929679;
130;"Gewone es";"Fraxinus excelsior";1930;"300-400 cm";"";"";"";"328482";"N266";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9642761,52.4079901)";"POINT(52.4079901,4.9642761)";4.9642761;52.4079901;
131;"Canadese populier";"Populus euramericana";1950;"400-500 cm";"";"";"";"324689";"N315";"Monumentale boom";"BOOM_50_80";"324689.jpg";"Ja";"";"POINT(4.9349558,52.3891989)";"POINT(52.3891989,4.9349558)";4.9349558;52.3891989;
132;"Hollandse iep";"Ulmus xhollandica";1950;"300-400 cm";"";"";"";"324810";"N317";"Monumentale boom";"BOOM_50_80";"324810.jpg";"Ja";"";"POINT(4.9306319,52.3880583)";"POINT(52.3880583,4.9306319)";4.9306319;52.3880583;
133;"Doodsbeenderenboom";"Gymnocladus dioica";1960;"100-200 cm";"";"";"";"20885";"N363";"Monumentale boom";"BOOM_50_80";"20885.jpg";"Ja";"";"POINT(4.9185359,52.3946845)";"POINT(52.3946845,4.9185359)";4.9185359;52.3946845;
134;"Rode paardenkastanje";"Aesculus x carnea";1960;"";"";"";"";"31794";"N368";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.939605,52.3928916)";"POINT(52.3928916,4.939605)";4.939605;52.3928916;
135;"Katzuraboom";"Cercidiphyllum japonicum";1960;"300-400 cm";"";"";"";"180546";"N387";"Monumentale boom";"BOOM_50_80";"kometensingel boom num =180546 cercidphyllum.jpg";"Ja";"";"POINT(4.8841302,52.4120642)";"POINT(52.4120642,4.8841302)";4.8841302;52.4120642;
136;"Canadese populier";"Populus euramericana";1950;"";"";"";"";"239357";"N388";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.935189,52.3892485)";"POINT(52.3892485,4.935189)";4.935189;52.3892485;
137;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"239366";"N389";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.929045,52.3884703)";"POINT(52.3884703,4.929045)";4.929045;52.3884703;
138;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"239373";"N390";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9295509,52.3883406)";"POINT(52.3883406,4.9295509)";4.9295509;52.3883406;
139;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"239382";"N391";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9301689,52.388085)";"POINT(52.388085,4.9301689)";4.9301689;52.388085;
140;"Hollandse iep";"Ulmus xhollandica `Belgica`";1950;"";"";"";"";"239391";"N392";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9315269,52.3880965)";"POINT(52.3880965,4.9315269)";4.9315269;52.3880965;
141;"Canadese populier";"Populus euramericana";1950;"";"";"";"";"239392";"N393";"Monumentale boom";"BOOM_50_80";"vliegenbos w.h. boom num =239392 popelier.jpg";"Ja";"";"POINT(4.9310229,52.3882643)";"POINT(52.3882643,4.9310229)";4.9310229;52.3882643;
142;"Canadese populier";"Populus euramericana";1950;"";"";"";"";"239393";"N394";"Monumentale boom";"BOOM_50_80";"vliegenbos w.h. boom num=239393 popelier.jpg";"Ja";"";"POINT(4.9308612,52.3883635)";"POINT(52.3883635,4.9308612)";4.9308612;52.3883635;
143;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"239418";"N407";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9351132,52.3913733)";"POINT(52.3913733,4.9351132)";4.9351132;52.3913733;
144;"Bruine beuk";"Fagus sylvatica `Purpurea`";1870;"";"";"";"Particuliere boom";"239420";"N408";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9389751,52.3914801)";"POINT(52.3914801,4.9389751)";4.9389751;52.3914801;
145;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1890;"";"";"";"";"239422";"N409";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9398839,52.3913008)";"POINT(52.3913008,4.9398839)";4.9398839;52.3913008;
146;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1920;"";"";"";"";"284735";"N424";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9234998,52.3969084)";"POINT(52.3969084,4.9234998)";4.9234998;52.3969084;
147;"Italiaanse populier";"Populus nigra `Italica`";1960;"";"";"";"";"284738";"N425";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9096529,52.3934561)";"POINT(52.3934561,4.9096529)";4.9096529;52.3934561;
148;"Italiaanse populier";"Populus nigra `Italica`";1960;"";"";"";"";"284739";"N426";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.909692,52.3934409)";"POINT(52.3934409,4.909692)";4.909692;52.3934409;
149;"Hollandse iep";"Ulmus xhollandica `Belgica`";1955;"200-300 cm";"";"";"";"285072";"N427";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.95977,52.3852164)";"POINT(52.3852164,4.95977)";4.95977;52.3852164;
150;"Gewone plataan";"Platanus xhispanica";1950;"";"";"";"";"285105";"N428";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9047539,52.383702)";"POINT(52.383702,4.9047539)";4.9047539;52.383702;
151;"Italiaanse populier";"Populus nigra `Italica`";1960;"";"";"";"";"300699";"N429";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9096529,52.3934409)";"POINT(52.3934409,4.9096529)";4.9096529;52.3934409;
152;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"300-400 cm";"";"";"";"307774";"N430";"Monumentale boom";"BOOM_50_80";"307774.jpg";"Ja";"";"POINT(4.921674,52.396733)";"POINT(52.396733,4.921674)";4.921674;52.396733;
153;"Canadese populier";"Populus euramericana";1950;"400-500 cm";"";"";"";"324689";"N435";"Monumentale boom";"BOOM_50_80";"324689.jpg";"Ja";"";"POINT(4.9349558,52.3891989)";"POINT(52.3891989,4.9349558)";4.9349558;52.3891989;
154;"Hollandse iep";"Ulmus xhollandica `Belgica`";1950;"100-200 cm";"";"";"";"326209";"N440";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9955432,52.3904425)";"POINT(52.3904425,4.9955432)";4.9955432;52.3904425;
155;"Venijnboom";"Taxus baccata";1955;"";"";"";"";"329224";"N445";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9621489,52.3834082)";"POINT(52.3834082,4.9621489)";4.9621489;52.3834082;
156;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1930;"";"";"";"";"329229";"N448";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.9411671,52.3902709)";"POINT(52.3902709,4.9411671)";4.9411671;52.3902709;
157;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1930;"";"";"";"";"329230";"N449";"Monumentale boom";"BOOM_80_100";"";"Ja";"";"POINT(4.941148,52.3902251)";"POINT(52.3902251,4.941148)";4.941148;52.3902251;
158;"Paardenkastanje";"Aesculus hippocastanum";1890;"";"";"";"";"331427";"N450";"Monumentale boom";"BOOM_100PLUS";"";"Ja";"";"POINT(4.9345119,52.3916976)";"POINT(52.3916976,4.9345119)";4.9345119;52.3916976;
159;"Hollandse iep";"Ulmus xhollandica";1955;"";"";"";"";"325388";"N451";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9299338,52.3885047)";"POINT(52.3885047,4.9299338)";4.9299338;52.3885047;
160;"Gewone plataan";"Platanus xhispanica";1940;"";"";"";"";"326215";"N452";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9158819,52.3952567)";"POINT(52.3952567,4.9158819)";4.9158819;52.3952567;
161;"Gewone esdoorn";"Acer pseudoplatanus";1955;"";"";"";"";"327234";"N453";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.9234321,52.4029051)";"POINT(52.4029051,4.9234321)";4.9234321;52.4029051;
162;"Hollandse iep";"Ulmus xhollandica";1950;"";"";"";"";"334366";"N454";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.93032,52.3884818)";"POINT(52.3884818,4.93032)";4.93032;52.3884818;
163;"Kolchische esdoorn";"Acer cappadocicum";1948;"";"50-100 cm";"";"";"182063";"O404";"Monumentale boom";"BOOM_50_80";"boom 182063.jpg";"Ja";"";"POINT(4.9298079,52.3409354)";"POINT(52.3409354,4.9298079)";4.9298079;52.3409354;
164;"Moerascipres";"Taxodium distichum";1930;"";"";"";"";"0";"W018";"Monumentale boom";"BOOM_80_100";"62530.f-1.jpg";"Ja";"";"POINT(4.87695,52.3869139)";"POINT(52.3869139,4.87695)";4.87695;52.3869139;
165;"Treurwilg";"Salix xsepulcralis `Chrysocoma`";1935;"";"";"";"";"0";"W020";"Monumentale boom";"BOOM_50_80";"b047b.jpg";"Ja";"";"POINT(4.8684418,52.3859297)";"POINT(52.3859297,4.8684418)";4.8684418;52.3859297;
166;"Amberboom";"Liquidambar styraciflua";1976;"";"";"";"";"0";"W022";"Beschermwaardige houtopstand";"HOUT_50MIN";"b007b ron.jpg";"Ja";"";"POINT(4.8778279,52.3860327)";"POINT(52.3860327,4.8778279)";4.8778279;52.3860327;
167;"Koningslinde";"Tilia europaea `Pallida`";2002;"< 50 cm";"0-25 cm";"";"Herdenkingsboom";"200801";"Z075";"Beschermwaardige houtopstand";"HOUT_50MIN";"boom 200801.jpg";"Ja";"boom 200801.pdf";"POINT(4.9007628,52.3434188)";"POINT(52.3434188,4.9007628)";4.9007628;52.3434188;
168;"Witte abeel";"Populus alba";1964;"300-400 cm";"";"Beeldbepalende waarde";"";"0";"AM003";"Beschermwaardige houtopstand";"HOUT_50PLUS";"witte abeel 003.jpg";"Ja";"";"POINT(4.8496888,52.3203703)";"POINT(52.3203703,4.8496888)";4.8496888;52.3203703;
169;"grauwe abeel";"Populus canescens";1936;"300-400 cm";"";"Beeldbepalende waarde";"";"0";"AM005";"Monumentale boom";"BOOM_50_80";"monumentale bomen 005.jpg";"Ja";"";"POINT(4.84325,52.3297812)";"POINT(52.3297812,4.84325)";4.84325;52.3297812;
170;"schietwilg";"Salix alba";1952;"> 500 cm";"";"Beeldbepalende waarde";"";"0";"AM006";"Monumentale boom";"BOOM_50_80";"schietwilg 006.jpg";"Ja";"";"POINT(4.851115,52.3184058)";"POINT(52.3184058,4.851115)";4.851115;52.3184058;
171;"grauwe abeel";"Populus canescens";1953;"> 500 cm";"";"Beeldbepalende waarde";"";"0";"AM007";"Monumentale boom";"BOOM_50_80";"grauwe abeel 007 .jpg";"Ja";"";"POINT(4.8543498,52.3165671)";"POINT(52.3165671,4.8543498)";4.8543498;52.3165671;
172;"italiaanse populier";"Populus nigra `Italica`";1963;"300-400 cm";"";"Beeldbepalende waarde";"";"0";"AM010";"Beschermwaardige houtopstand";"HOUT_50PLUS";"italiaanse populier 010.jpg";"Ja";"";"POINT(4.8514411,52.3179061)";"POINT(52.3179061,4.8514411)";4.8514411;52.3179061;
173;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"13";"C001";"Monumentale boom";"BOOM_100PLUS";"13.jpg";"Ja";"Boom_13.pdf";"POINT(4.882169,52.3844306)";"POINT(52.3844306,4.882169)";4.882169;52.3844306;
174;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"62";"C002";"Monumentale boom";"BOOM_100PLUS";"62.jpg";"Ja";"Boom_62.pdf";"POINT(4.883549,52.3843924)";"POINT(52.3843924,4.883549)";4.883549;52.3843924;
175;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"67";"C003";"Monumentale boom";"BOOM_100PLUS";"67.jpg";"Ja";"Boom_67.pdf";"POINT(4.8836691,52.3844191)";"POINT(52.3844191,4.8836691)";4.8836691;52.3844191;
176;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"77";"C004";"Monumentale boom";"BOOM_100PLUS";"77.jpg";"Ja";"Boom_77.pdf";"POINT(4.883981,52.3846175)";"POINT(52.3846175,4.883981)";4.883981;52.3846175;
177;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"81";"C005";"Monumentale boom";"BOOM_100PLUS";"81.jpg";"Ja";"Boom_81.pdf";"POINT(4.8839738,52.3846938)";"POINT(52.3846938,4.8839738)";4.8839738;52.3846938;
178;"Gewone plataan";"Platanus xhispanica";1935;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"138";"C006";"Monumentale boom";"BOOM_50_80";"138.jpg";"Ja";"Boom_138.pdf";"POINT(4.878515,52.3786399)";"POINT(52.3786399,4.878515)";4.878515;52.3786399;
179;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"147";"C007";"Monumentale boom";"BOOM_100PLUS";"147.jpg";"Ja";"Boom_147.pdf";"POINT(4.8791792,52.3787696)";"POINT(52.3787696,4.8791792)";4.8791792;52.3787696;
180;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1935;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"159";"C008";"Monumentale boom";"BOOM_50_80";"159.jpg";"Ja";"Boom_159.pdf";"POINT(4.880492,52.3812148)";"POINT(52.3812148,4.880492)";4.880492;52.3812148;
181;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"259";"C009";"Monumentale boom";"BOOM_80_100";"259.jpg";"Ja";"Boom_259.pdf";"POINT(4.887521,52.3767706)";"POINT(52.3767706,4.887521)";4.887521;52.3767706;
182;"Hollandse iep cv.";"Ulmus xhollandica `Groeneveld`";1940;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"316";"C010";"Monumentale boom";"BOOM_50_80";"316.jpg";"Ja";"Boom_316.pdf";"POINT(4.887644,52.3774764)";"POINT(52.3774764,4.887644)";4.887644;52.3774764;
183;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"319";"C011";"Monumentale boom";"BOOM_80_100";"319.jpg";"Ja";"Boom_319.pdf";"POINT(4.8858788,52.3774497)";"POINT(52.3774497,4.8858788)";4.8858788;52.3774497;
184;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"338";"C012";"Monumentale boom";"BOOM_80_100";"338.jpg";"Ja";"Boom_338.pdf";"POINT(4.8855069,52.3775641)";"POINT(52.3775641,4.8855069)";4.8855069;52.3775641;
185;"Monumentaal iep";"Ulmus minor `Sarniensis`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"355";"C013";"Monumentale boom";"BOOM_50_80";"355.jpg";"Ja";"Boom_355.pdf";"POINT(4.8941052,52.3777854)";"POINT(52.3777854,4.8941052)";4.8941052;52.3777854;
186;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"371";"C014";"Monumentale boom";"BOOM_50_80";"371.jpg";"Ja";"Boom_371.pdf";"POINT(4.893626,52.3781554)";"POINT(52.3781554,4.893626)";4.893626;52.3781554;
187;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"382";"C016";"Monumentale boom";"BOOM_80_100";"382.jpg";"Ja";"Boom_382.pdf";"POINT(4.8863151,52.3779227)";"POINT(52.3779227,4.8863151)";4.8863151;52.3779227;
188;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"383";"C017";"Monumentale boom";"BOOM_80_100";"383.jpg";"Ja";"Boom_383.pdf";"POINT(4.885927,52.3780257)";"POINT(52.3780257,4.885927)";4.885927;52.3780257;
189;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"402";"C018";"Monumentale boom";"BOOM_80_100";"402.jpg";"Ja";"Boom_402.pdf";"POINT(4.8867462,52.3783995)";"POINT(52.3783995,4.8867462)";4.8867462;52.3783995;
190;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"403";"C019";"Monumentale boom";"BOOM_80_100";"403.jpg";"Ja";"Boom_403.pdf";"POINT(4.8866351,52.3782736)";"POINT(52.3782736,4.8866351)";4.8866351;52.3782736;
